iter	MultiClass
0	-1.404532087
1	-1.234536361
2	-1.097250302
3	-1.001601263
4	-0.9076364221
5	-0.8337872573
6	-0.7721815221
7	-0.7065141668
8	-0.6542082146
9	-0.6096267338
10	-0.568520167
11	-0.5324313125
12	-0.5043788062
13	-0.4747759901
14	-0.4485135538
15	-0.4277974816
16	-0.4084899061
17	-0.3871145402
18	-0.3725532331
19	-0.3528549916
20	-0.3357942795
21	-0.3205891082
22	-0.3064462266
23	-0.2918162412
24	-0.2812060197
25	-0.2704937529
26	-0.2570423283
27	-0.2445545891
28	-0.23687313
29	-0.2263770034
30	-0.2185109563
31	-0.2101293916
32	-0.2012331718
33	-0.1930402497
34	-0.1853279109
35	-0.1794055767
36	-0.1741530261
37	-0.1686782575
38	-0.1628351397
39	-0.156407425
40	-0.1512748345
41	-0.1470849032
42	-0.1439571168
43	-0.1398902189
44	-0.1357619896
45	-0.1310095619
46	-0.1271498657
47	-0.1228353355
48	-0.1201733103
49	-0.1163091656
50	-0.1128280018
51	-0.1108376751
52	-0.1094090294
53	-0.1055202947
54	-0.1026178935
55	-0.09981382023
56	-0.09751279872
57	-0.09496512486
58	-0.09242611402
59	-0.09036937671
60	-0.087300896
61	-0.08529993451
62	-0.08340521153
63	-0.08099179924
64	-0.07894852761
65	-0.07758612388
66	-0.07634999927
67	-0.07549688228
68	-0.07421016421
69	-0.07317666967
70	-0.07189652277
71	-0.07034120032
72	-0.06882500262
73	-0.06810882729
74	-0.06663983701
75	-0.06513749832
76	-0.06409707037
77	-0.06285236362
78	-0.06110775105
79	-0.05972699371
80	-0.05869336491
81	-0.05795174459
82	-0.05671320588
83	-0.05610009822
84	-0.05484444898
85	-0.05396371699
86	-0.05278512337
87	-0.05201589062
88	-0.050809062
89	-0.05050432812
90	-0.0502627961
91	-0.04969002667
92	-0.04832494723
93	-0.04720638682
94	-0.04647491278
95	-0.04600479084
96	-0.04564257394
97	-0.04541861289
98	-0.04470109969
99	-0.04405049896
100	-0.04333762563
101	-0.0425392407
102	-0.04249560628
103	-0.04192730826
104	-0.040987809
105	-0.04088794528
106	-0.04048653546
107	-0.03992210487
108	-0.03933993112
109	-0.03921648961
110	-0.0387224276
111	-0.03834531279
112	-0.03795732289
113	-0.03780484893
114	-0.03716414503
115	-0.0364116822
116	-0.03634556965
117	-0.03574861054
118	-0.03526059834
119	-0.03450216363
120	-0.03406257479
121	-0.03378481036
122	-0.03341975194
123	-0.03315856359
124	-0.032787611
125	-0.03252696086
126	-0.032233291
127	-0.03196994996
128	-0.03155439165
129	-0.03149848119
130	-0.03117500954
131	-0.03063870964
132	-0.03050570631
133	-0.03032821716
134	-0.02991546059
135	-0.02988208995
136	-0.02984744438
137	-0.02930051743
138	-0.0290192282
139	-0.02876949439
140	-0.02840237066
141	-0.02832340161
142	-0.02777546397
143	-0.02768003459
144	-0.02735831321
145	-0.02723296378
146	-0.02712738989
147	-0.02702908057
148	-0.02685386637
149	-0.02677524605
150	-0.02647591102
151	-0.02607981799
152	-0.02572796485
153	-0.02553545549
154	-0.02543681321
155	-0.02510513899
156	-0.02487575124
