iter	Passed	Remaining
0	70	84942
1	152	92262
2	205	82833
3	259	78201
4	309	74616
5	361	72665
6	387	66686
7	418	62953
8	457	61118
9	508	61055
10	533	58163
11	603	60315
12	631	58159
13	660	56432
14	688	54907
15	717	53585
16	746	52459
17	773	51248
18	814	51092
19	865	51523
20	919	52096
21	965	52179
22	994	51373
23	1023	50603
24	1070	50777
25	1096	49994
26	1175	51536
27	1253	52969
28	1292	52673
29	1373	54086
30	1401	53345
31	1451	53481
32	1499	53532
33	1546	53546
34	1574	52918
35	1612	52625
36	1642	52107
37	1692	52253
38	1734	52138
39	1763	51613
40	1800	51387
41	1828	50882
42	1908	51839
43	1935	51342
44	1963	50866
45	1990	50412
46	2022	50079
47	2069	50138
48	2116	50184
49	2165	50293
50	2193	49891
51	2220	49494
52	2273	49681
53	2300	49293
54	2329	48962
55	2403	49565
56	2431	49224
57	2458	48882
58	2494	48698
59	2542	48775
60	2592	48879
61	2622	48603
62	2650	48297
63	2700	48393
64	2782	49054
65	2834	49170
66	2863	48893
67	2892	48627
68	2920	48339
69	2946	48031
70	2973	47740
71	3047	48208
72	3077	47976
73	3105	47709
74	3132	47445
75	3177	47459
76	3227	47533
77	3254	47276
78	3332	47754
79	3359	47497
80	3399	47428
81	3429	47216
82	3458	47004
83	3486	46780
84	3513	46539
85	3541	46326
86	3570	46132
87	3617	46165
88	3644	45942
89	3672	45740
90	3698	45514
91	3777	45941
92	3805	45747
93	3840	45632
94	3867	45430
95	3915	45471
96	3961	45491
97	3988	45296
98	4015	45100
99	4042	44913
100	4072	44756
101	4099	44566
102	4126	44387
103	4156	44243
104	4185	44085
105	4212	43909
106	4240	43752
107	4268	43596
108	4296	43436
109	4324	43282
110	4353	43145
111	4380	42983
112	4406	42820
113	4434	42671
114	4502	42907
115	4529	42760
116	4574	42773
117	4599	42608
118	4627	42463
119	4654	42317
120	4684	42199
121	4711	42059
122	4740	41929
123	4767	41791
124	4796	41675
125	4843	41710
126	4872	41586
127	4905	41502
128	4934	41385
129	4962	41266
130	5039	41545
131	5066	41411
132	5093	41286
133	5121	41159
134	5146	41022
135	5176	40914
136	5210	40845
137	5260	40898
138	5288	40789
139	5368	41072
140	5398	40964
141	5427	40861
142	5457	40761
143	5533	41005
144	5565	40917
145	5593	40803
146	5621	40686
147	5663	40681
148	5744	40940
149	5793	40977
150	5827	40910
151	5875	40933
152	5904	40830
153	5931	40712
154	6006	40920
155	6035	40814
156	6063	40705
157	6090	40588
158	6119	40487
159	6148	40385
160	6175	40275
161	6259	40529
162	6287	40427
163	6313	40306
164	6341	40199
165	6395	40257
166	6423	40153
167	6449	40040
168	6477	39940
169	6504	39828
170	6531	39724
171	6578	39736
172	6606	39640
173	6636	39552
174	6666	39462
175	6694	39369
176	6723	39277
177	6750	39174
178	6775	39062
179	6801	38956
180	6850	38981
181	6895	38983
182	6924	38895
183	6952	38806
184	6981	38719
185	7008	38624
186	7038	38541
187	7065	38449
188	7093	38356
189	7121	38268
190	7148	38176
191	7177	38092
192	7205	38006
193	7233	37921
194	7280	37935
195	7307	37842
196	7334	37751
197	7386	37787
198	7413	37702
199	7440	37612
200	7468	37527
201	7495	37441
202	7521	37348
203	7551	37275
204	7580	37198
205	7610	37126
206	7656	37133
207	7704	37150
208	7732	37073
209	7760	36993
210	7835	37133
211	7862	37050
212	7903	37032
213	7946	37023
214	7976	36950
215	8003	36866
216	8079	37009
217	8106	36926
218	8133	36844
219	8160	36759
220	8187	36677
221	8214	36595
222	8242	36517
223	8269	36437
224	8297	36361
225	8326	36289
226	8355	36217
227	8381	36137
228	8410	36066
229	8464	36102
230	8491	36024
231	8534	36012
232	8580	36014
233	8621	35998
234	8651	35932
235	8677	35851
236	8707	35785
237	8735	35713
238	8763	35639
239	8791	35569
240	8818	35495
241	8846	35421
242	8874	35353
243	8903	35283
244	8932	35220
245	8961	35152
246	8988	35079
247	9036	35088
248	9061	35009
249	9091	34947
250	9119	34877
251	9143	34795
252	9173	34735
253	9200	34666
254	9251	34684
255	9281	34625
256	9327	34623
257	9355	34558
258	9382	34488
259	9431	34498
260	9456	34421
261	9531	34522
262	9559	34458
263	9588	34395
264	9615	34326
265	9643	34260
266	9672	34199
267	9700	34131
268	9747	34133
269	9775	34068
270	9826	34083
271	9903	34188
272	9954	34202
273	9981	34134
274	10010	34070
275	10052	34055
276	10079	33985
277	10107	33920
278	10133	33851
279	10162	33789
280	10200	33760
281	10227	33692
282	10272	33683
283	10300	33622
284	10330	33563
285	10358	33501
286	10405	33500
287	10432	33436
288	10506	33519
289	10534	33454
290	10564	33398
291	10637	33479
292	10664	33414
293	10719	33435
294	10748	33374
295	10775	33309
296	10802	33243
297	10826	33170
298	10856	33113
299	10883	33050
300	10913	32993
301	10961	32992
302	10989	32930
303	11016	32868
304	11044	32806
305	11070	32740
306	11099	32684
307	11127	32624
308	11178	32630
309	11245	32685
310	11275	32630
311	11304	32573
312	11349	32560
313	11377	32503
314	11405	32442
315	11478	32510
316	11507	32452
317	11533	32388
318	11562	32331
319	11591	32275
320	11620	32217
321	11646	32155
322	11693	32147
323	11720	32086
324	11767	32078
325	11794	32018
326	11823	31962
327	11898	32032
328	11944	32020
329	11969	31956
330	11998	31898
331	12072	31964
332	12101	31908
333	12177	31975
334	12224	31966
335	12250	31901
336	12278	31843
337	12306	31785
338	12334	31728
339	12361	31667
340	12389	31609
341	12437	31602
342	12473	31565
343	12499	31503
344	12528	31448
345	12554	31385
346	12604	31385
347	12649	31368
348	12686	31334
349	12716	31282
350	12747	31233
351	12774	31174
352	12801	31114
353	12829	31057
354	12858	31004
355	12886	30948
356	12967	31021
357	12994	30962
358	13023	30907
359	13051	30851
360	13079	30795
361	13106	30738
362	13154	30729
363	13182	30674
364	13227	30658
365	13256	30606
366	13284	30550
367	13335	30547
368	13379	30531
369	13407	30474
370	13484	30529
371	13513	30478
372	13542	30424
373	13585	30404
374	13615	30354
375	13668	30354
376	13699	30306
377	13779	30365
378	13807	30311
379	13835	30255
380	13880	30238
381	13926	30223
382	13956	30171
383	14000	30152
384	14089	30228
385	14130	30201
386	14224	30287
387	14321	30377
388	14402	30433
389	14464	30450
390	14528	30469
391	14566	30433
392	14655	30504
393	14715	30513
394	14815	30605
395	14877	30619
396	14903	30558
397	14949	30536
398	14979	30484
399	15006	30426
400	15034	30368
401	15062	30311
402	15106	30288
403	15135	30233
404	15164	30178
405	15211	30159
406	15241	30107
407	15269	30053
408	15297	29996
409	15323	29937
410	15350	29880
411	15399	29865
412	15484	29919
413	15531	29900
414	15579	29882
415	15606	29825
416	15652	29803
417	15679	29745
418	15707	29690
419	15755	29673
420	15801	29651
421	15848	29631
422	15876	29575
423	15925	29560
424	15953	29504
425	15979	29446
426	16008	29392
427	16054	29370
428	16081	29314
429	16108	29257
430	16137	29204
431	16164	29149
432	16215	29136
433	16288	29162
434	16315	29105
435	16388	29130
436	16430	29101
437	16457	29045
438	16486	28992
439	16513	28935
440	16540	28880
441	16567	28824
442	16597	28774
443	16627	28723
444	16677	28707
445	16706	28654
446	16785	28690
447	16813	28636
448	16853	28601
449	16880	28547
450	16910	28496
451	16957	28474
452	16984	28420
453	17011	28365
454	17040	28313
455	17066	28257
456	17095	28205
457	17124	28154
458	17154	28104
459	17183	28053
460	17227	28027
461	17288	28027
462	17316	27976
463	17344	27923
464	17374	27874
465	17404	27824
466	17433	27773
467	17460	27721
468	17489	27669
469	17516	27616
470	17563	27594
471	17589	27540
472	17617	27487
473	17692	27509
474	17734	27479
475	17763	27429
476	17793	27380
477	17820	27327
478	17874	27315
479	17920	27291
480	17948	27239
481	17991	27211
482	18035	27183
483	18109	27201
484	18136	27149
485	18164	27097
486	18211	27073
487	18259	27052
488	18287	27000
489	18350	27001
490	18383	26957
491	18412	26907
492	18441	26857
493	18469	26806
494	18496	26755
495	18547	26736
496	18579	26692
497	18609	26644
498	18637	26592
499	18664	26541
500	18737	26553
501	18765	26503
502	18819	26489
503	18845	26436
504	18889	26408
505	18920	26362
506	18970	26341
507	18999	26292
508	19076	26310
509	19104	26258
510	19133	26209
511	19160	26157
512	19187	26106
513	19214	26055
514	19242	26005
515	19270	25955
516	19298	25906
517	19325	25854
518	19353	25804
519	19379	25752
520	19409	25705
521	19438	25657
522	19464	25605
523	19493	25557
524	19540	25533
525	19569	25484
526	19615	25459
527	19643	25409
528	19672	25361
529	19700	25313
530	19726	25262
531	19753	25212
532	19799	25186
533	19847	25162
534	19875	25114
535	19903	25065
536	19930	25014
537	20001	25020
538	20028	24970
539	20056	24921
540	20132	24932
541	20160	24884
542	20187	24834
543	20216	24787
544	20241	24735
545	20285	24706
546	20314	24659
547	20343	24612
548	20382	24577
549	20455	24583
550	20510	24568
551	20560	24546
552	20613	24527
553	20642	24479
554	20672	24434
555	20751	24446
556	20778	24396
557	20806	24348
558	20834	24300
559	20862	24252
560	20892	24207
561	20919	24158
562	20945	24108
563	20972	24058
564	21019	24032
565	21047	23985
566	21073	23935
567	21100	23887
568	21131	23842
569	21160	23795
570	21186	23747
571	21235	23722
572	21261	23673
573	21285	23622
574	21332	23596
575	21361	23549
576	21407	23522
577	21435	23475
578	21461	23425
579	21489	23378
580	21520	23335
581	21595	23339
582	21624	23293
583	21650	23244
584	21696	23217
585	21741	23188
586	21787	23161
587	21833	23132
588	21862	23087
589	21889	23039
590	21918	22993
591	21961	22962
592	22013	22941
593	22041	22894
594	22070	22849
595	22119	22824
596	22166	22797
597	22194	22751
598	22222	22704
599	22249	22657
600	22277	22611
601	22307	22566
602	22383	22568
603	22409	22520
604	22451	22488
605	22477	22440
606	22549	22438
607	22579	22393
608	22605	22346
609	22635	22301
610	22712	22303
611	22756	22273
612	22784	22226
613	22811	22179
614	22839	22133
615	22919	22138
616	22968	22112
617	23015	22084
618	23046	22041
619	23076	21997
620	23121	21966
621	23153	21925
622	23181	21878
623	23235	21857
624	23284	21831
625	23313	21786
626	23355	21753
627	23382	21707
628	23456	21703
629	23483	21656
630	23510	21610
631	23537	21563
632	23566	21518
633	23593	21472
634	23641	21445
635	23687	21415
636	23717	21371
637	23744	21325
638	23773	21281
639	23849	21278
640	23876	21231
641	23922	21202
642	23951	21157
643	23980	21113
644	24057	21110
645	24084	21064
646	24112	21019
647	24162	20993
648	24191	20948
649	24218	20902
650	24245	20856
651	24280	20817
652	24362	20818
653	24391	20774
654	24420	20729
655	24446	20682
656	24490	20651
657	24524	20610
658	24552	20565
659	24580	20520
660	24628	20492
661	24677	20464
662	24705	20420
663	24751	20389
664	24798	20360
665	24826	20316
666	24857	20273
667	24901	20241
668	24927	20195
669	24955	20150
670	24982	20105
671	25030	20076
672	25057	20030
673	25084	19985
674	25139	19962
675	25181	19929
676	25208	19883
677	25259	19857
678	25346	19859
679	25411	19843
680	25504	19849
681	25600	19857
682	25651	19830
683	25754	19843
684	25814	19822
685	25857	19788
686	25916	19767
687	26006	19769
688	26057	19742
689	26153	19747
690	26247	19752
691	26341	19756
692	26384	19721
693	26474	19722
694	26570	19727
695	26620	19697
696	26676	19672
697	26716	19635
698	26780	19616
699	26829	19585
700	26929	19592
701	27027	19596
702	27098	19582
703	27159	19559
704	27250	19558
705	27311	19536
706	27375	19515
707	27434	19490
708	27528	19490
709	27576	19458
710	27617	19421
711	27711	19421
712	27805	19421
713	27863	19394
714	27958	19394
715	28019	19370
716	28096	19357
717	28153	19331
718	28196	19294
719	28246	19262
720	28334	19256
721	28415	19245
722	28504	19239
723	28583	19226
724	28646	19203
725	28689	19165
726	28783	19162
727	28824	19124
